"CL13"	"JC11"	"NF8"	"BB10"	"CL7"	"NF12"	"MP1"	"EC9"	"EC8"	"CL14"	"BB9"	"EC6"	"EC5"	"CL4"	"CL6"	"CL3"	"MP7"	"CL16"	"NF10"	"CL5"	"NF9"	"CL12"	"MP5"	"NF14"	"BB6"	"JC9"	"JC6"	"JC1"	"NF4"	"NF2"	"CL8"	"NF11"	"MP6"	"NF13"	"BB7"	"JC2"	"MP4"	"CL9"	"NF7"	"BB3"	"EC1"	"JC8"	"NF1"	"NF15"	"EC10"	"NF5"	"CL1"	"MP8"	"EC4"	"BB4"	"NF16"	"CL10"	"CL15"	"CL2"	"MP2"	"JC5"	"JC12"	"EC7"	"MP9"	"CL11"	"NF6"	"BB1"	"JC7"	"MP10"	"BB5"	"JC10"	"BB8"	"JC3"	"BB2"	"JC4"
"Cluster1168900"	0	0	0	0	0	0	0	0	0	0	0	5388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2381	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster1183739"	0	0	0	0	0	0	0	0	0	0	0	0	0	481	4	842	0	0	0	207	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
"Cluster1183836"	0	0	147	23	0	1	0	0	0	0	0	0	0	0	0	0	17	0	0	0	8	0	0	1	0	0	0	0	250	93	0	1	0	0	0	329	0	0	426	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
"Cluster1185877"	0	0	0	0	0	0	0	0	0	0	785	0	0	0	0	0	16	0	0	0	68	0	9	0	12	0	0	0	0	0	0	0	849	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	877	0	0	0	0	7001	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0
"Cluster1186330"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster1187172"	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster1189880"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3623	0	0	0	0	0
"Cluster1190248"	0	0	0	0	2375	0	0	0	0	0	0	0	0	582	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	7576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster1191583"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0
"Cluster119182"	5100	0	0	0	0	0	0	0	0	0	0	5617	0	0	0	0	0	1	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1888	0	0	0	0	0	0	0	0	0	0
"Cluster1197464"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster120067"	0	0	0	0	0	0	0	0	8911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"Cluster1200864"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster1205684"	0	0	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	82	0	0	60	0	0	0	0	0	0	0	14	0	238	0	0	0	0	0	0	0	0	0	1	0	0	0	653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
