OTU_id	lineage	BB04	BB05	BB06	BB07	BB08	BB09	BB10	CL01	CL03	CL04	CL05	CL06	CL07	CL08	CL09	CL10	CL11	CL12	CL13	CL14	CL15	CL16	EC01	EC05	EC06	EC07	EC08	EC09	EC10	JC01	JC02	JC03	JC05	JC06	JC07	JC09	JC10	JC11	JC12	MF01	MF02	MF04	MF05	MF06	MF07	MF08	MF09	MF10	NF02	NF05	NF06	NF07	NF08	NF09	NF10	NF11	NF12	NF13	NF14	NF15	NF16
Cluster1094366	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster1094626	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Cricotopus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster1102602	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sarcophagidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster1111802	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster1111808	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	370	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster1112567	r__root;p__Arthropoda;c__Insecta	0	59	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster1115775	r__root;p__Arthropoda;c__Arachnida;o__Araneae;f__Theridiidae;g__Parasteatoda	0	0	0	0	0	0	0	0	0	93	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster1116607	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster1117056	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae;g__Culex	0	0	0	0	0	0	0	0	168	0	0	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Cluster1118816	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	1191	1852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
